x,y,z,entity_type
1.5,-0.5,0.0,POLYLINE
1.5012324796640857,-0.5,0.0,POLYLINE
1.5048619197783235,-0.5,0.0,POLYLINE
1.5107863220256865,-0.5,0.0,POLYLINE
1.5189036880891464,-0.5,0.0,POLYLINE
1.5291120196516756,-0.5,0.0,POLYLINE
1.5413093183962465,-0.5,0.0,POLYLINE
1.555393586005831,-0.5,0.0,POLYLINE
1.5712628241634012,-0.5,0.0,POLYLINE
1.58881503455193,-0.5,0.0,POLYLINE
1.607948218854389,-0.5,0.0,POLYLINE
1.6285603787537506,-0.5,0.0,POLYLINE
1.6505495159329873,-0.5,0.0,POLYLINE
1.6738136320750707,-0.5,0.0,POLYLINE
1.6982507288629738,-0.5,0.0,POLYLINE
1.7237588079796684,-0.5,0.0,POLYLINE
1.750235871108127,-0.5,0.0,POLYLINE
1.7775799199313211,-0.5,0.0,POLYLINE
1.8056889561322238,-0.5,0.0,POLYLINE
1.834460981393807,-0.5,0.0,POLYLINE
1.863793997399043,-0.5,0.0,POLYLINE
1.8935860058309038,-0.5,0.0,POLYLINE
1.9237350083723617,-0.5,0.0,POLYLINE
1.9541390067063893,-0.5,0.0,POLYLINE
1.9846960025159583,-0.5,0.0,POLYLINE
2.0153039974840414,-0.5,0.0,POLYLINE
2.0458609932936107,-0.5,0.0,POLYLINE
2.0762649916276383,-0.5,0.0,POLYLINE
2.1064139941690962,-0.5,0.0,POLYLINE
2.1362060026009573,-0.5,0.0,POLYLINE
2.165539018606193,-0.5,0.0,POLYLINE
2.194311043867776,-0.5,0.0,POLYLINE
2.222420080068679,-0.5,0.0,POLYLINE
2.249764128891873,-0.5,0.0,POLYLINE
2.276241192020332,-0.5,0.0,POLYLINE
2.301749271137026,-0.5,0.0,POLYLINE
2.3261863679249295,-0.5,0.0,POLYLINE
2.3494504840670127,-0.5,0.0,POLYLINE
2.3714396212462496,-0.5,0.0,POLYLINE
2.3920517811456112,-0.5,0.0,POLYLINE
2.41118496544807,-0.5,0.0,POLYLINE
2.4287371758365985,-0.5,0.0,POLYLINE
2.444606413994169,-0.5,0.0,POLYLINE
2.4586906816037537,-0.5,0.0,POLYLINE
2.470887980348324,-0.5,0.0,POLYLINE
2.481096311910853,-0.5,0.0,POLYLINE
2.4892136779743135,-0.5,0.0,POLYLINE
2.4951380802216767,-0.5,0.0,POLYLINE
2.498767520335914,-0.5,0.0,POLYLINE
2.5,-0.5,0.0,POLYLINE
2.5,-0.5,0.0,POLYLINE
2.5,-0.4987675203359145,0.0,POLYLINE
2.5,-0.4951380802216763,0.0,POLYLINE
2.5,-0.4892136779743134,0.0,POLYLINE
2.5,-0.48109631191085345,0.0,POLYLINE
2.5,-0.47088798034832424,0.0,POLYLINE
2.5,-0.45869068160375354,0.0,POLYLINE
2.5,-0.44460641399416906,0.0,POLYLINE
2.5,-0.42873717583659865,0.0,POLYLINE
2.5,-0.41118496544807015,0.0,POLYLINE
